envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
470	5598000	5670000	5430000	5550000	5670000	5670000	
471	5643000	5667000	5427000	5667000	5787000	5667000	
472	5640000	5664000	5424000	5664000	5784000	5664000	
473	5637000	5661000	5421000	5661000	5781000	5661000	
474	5634000	5658000	5418000	5658000	5778000	5658000	
475	5631000	5655000	5415000	5655000	5775000	5655000	
476	5628000	5652000	5412000	5652000	5772000	5652000	
477	5649000	5649000	5409000	5649000	5889000	5649000	
478	5670000	5766000	5406000	5646000	5886000	5646000	
479	5691000	5763000	5403000	5643000	5883000	5763000	
480	5712000	5760000	5400000	5760000	5880000	5760000	
481	5709000	5757000	5397000	5757000	5877000	5757000	
482	5706000	5754000	5394000	5754000	5874000	5754000	
483	5727000	5751000	5511000	5751000	5871000	5751000	
484	5748000	5748000	5508000	5748000	5988000	5748000	
485	5745000	5745000	5505000	5745000	5985000	5745000	
486	5766000	5742000	5622000	5742000	5982000	5742000	
487	5787000	5739000	5739000	5739000	5979000	5739000	
488	5784000	5736000	5736000	5736000	5976000	5736000	
489	5781000	5733000	5733000	5733000	5973000	5733000	
490	5778000	5730000	5730000	5730000	5970000	5730000	
491	5775000	5727000	5727000	5727000	5967000	5727000	
492	5772000	5724000	5724000	5724000	5964000	5724000	
493	5769000	5721000	5721000	5721000	5961000	5721000	
494	5814000	5718000	5718000	5838000	5958000	5838000	
495	5835000	5835000	5715000	5835000	5955000	5835000	
496	5856000	5832000	5712000	5832000	6072000	5832000	
497	5877000	5829000	5829000	5829000	6069000	5829000	
498	5898000	5826000	5826000	5946000	6066000	5826000	
499	5919000	5823000	5943000	5943000	6063000	5823000	
500	5940000	5820000	5940000	6060000	6060000	5820000	
501	5961000	5937000	5937000	6057000	6057000	5817000	
502	5958000	5934000	5934000	6054000	6054000	5814000	
503	5979000	5931000	6051000	6051000	6051000	5811000	
504	6e+06	5928000	6048000	6168000	6048000	5808000	
505	5997000	5925000	6045000	6165000	6045000	5805000	
506	6042000	6042000	6042000	6162000	6162000	5802000	
507	6039000	6039000	6039000	6159000	6159000	5799000	
508	6036000	6036000	6036000	6156000	6156000	5796000	
509	6057000	6033000	6033000	6273000	6153000	5793000	
510	6078000	6030000	6030000	6270000	6270000	5790000	
511	6099000	6027000	6027000	6267000	6267000	5907000	
512	6120000	6024000	6024000	6264000	6264000	6024000	
513	6141000	6021000	6141000	6261000	6261000	6021000	
514	6162000	6018000	6138000	6378000	6258000	6018000	
515	6207000	6135000	6135000	6375000	6255000	6135000	
516	6204000	6132000	6132000	6372000	6252000	6132000	
517	6201000	6129000	6129000	6369000	6249000	6129000	
518	6198000	6126000	6126000	6366000	6246000	6126000	
519	6195000	6123000	6123000	6363000	6243000	6123000	
520	6216000	6120000	6120000	6360000	6360000	6120000	
521	6237000	6237000	6117000	6357000	6357000	6117000	
522	6258000	6354000	6114000	6354000	6354000	6114000	
523	6255000	6351000	6111000	6351000	6351000	6111000	
524	6252000	6348000	6108000	6348000	6348000	6108000	
525	6297000	6345000	6105000	6465000	6465000	6105000	
526	6294000	6342000	6102000	6462000	6462000	6102000	
527	6315000	6339000	6099000	6459000	6579000	6099000	
528	6312000	6336000	6096000	6456000	6576000	6096000	
529	6357000	6333000	6093000	6573000	6573000	6213000	
530	6354000	6330000	6090000	6570000	6570000	6210000	
531	6423000	6327000	6207000	6687000	6567000	6327000	
532	6444000	6324000	6204000	6684000	6564000	6444000	
533	6489000	6321000	6321000	6801000	6561000	6441000	
534	6510000	6318000	6318000	6798000	6558000	6558000	
535	6555000	6315000	6315000	6795000	6675000	6675000	
536	6552000	6312000	6312000	6792000	6672000	6672000	
537	6573000	6429000	6309000	6789000	6669000	6669000	
538	6570000	6426000	6306000	6786000	6666000	6666000	
539	6591000	6423000	6303000	6903000	6663000	6663000	
540	6588000	6420000	6300000	6900000	6660000	6660000	
541	6585000	6417000	6297000	6897000	6657000	6657000	
542	6606000	6414000	6294000	7014000	6654000	6654000	
543	6603000	6411000	6291000	7011000	6651000	6651000	
544	6624000	6408000	6408000	7008000	6648000	6648000	
545	6621000	6405000	6405000	7005000	6645000	6645000	
