envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
263	2595000	2451000	2331000	3051000	2811000	2331000	
264	2616000	2448000	2448000	3048000	2808000	2328000	
265	2613000	2445000	2445000	3045000	2805000	2325000	
266	2610000	2442000	2442000	3042000	2802000	2322000	
267	2607000	2439000	2439000	3039000	2799000	2319000	
268	2628000	2436000	2436000	3036000	2916000	2316000	
269	2625000	2433000	2433000	3033000	2913000	2313000	
270	2646000	2430000	2550000	3030000	2910000	2310000	
271	2667000	2427000	2547000	3027000	2907000	2427000	
272	2688000	2424000	2544000	3024000	3024000	2424000	
273	2685000	2421000	2541000	3021000	3021000	2421000	
274	2682000	2418000	2538000	3018000	3018000	2418000	
275	2679000	2415000	2535000	3015000	3015000	2415000	
276	2676000	2412000	2532000	3012000	3012000	2412000	
277	2673000	2409000	2529000	3009000	3009000	2409000	
278	2670000	2406000	2526000	3006000	3006000	2406000	
279	2691000	2403000	2523000	3003000	3123000	2403000	
280	2712000	2520000	2520000	3e+06	3120000	2400000	
281	2709000	2517000	2517000	2997000	3117000	2397000	
282	2730000	2514000	2514000	3114000	3114000	2394000	
283	2751000	2511000	2511000	3111000	3111000	2511000	
284	2772000	2628000	2508000	3108000	3108000	2508000	
285	2769000	2625000	2505000	3105000	3105000	2505000	
286	2766000	2622000	2502000	3102000	3102000	2502000	
287	2787000	2619000	2499000	3099000	3099000	2619000	
288	2784000	2616000	2496000	3096000	3096000	2616000	
289	2805000	2613000	2493000	3213000	3093000	2613000	
290	2826000	2730000	2490000	3210000	3090000	2610000	
291	2871000	2847000	2487000	3207000	3207000	2607000	
292	2868000	2844000	2484000	3204000	3204000	2604000	
293	2865000	2841000	2481000	3201000	3201000	2601000	
294	2862000	2838000	2478000	3198000	3198000	2598000	
295	2883000	2835000	2595000	3195000	3195000	2595000	
296	2880000	2832000	2592000	3192000	3192000	2592000	
297	2925000	2949000	2709000	3189000	3189000	2589000	
298	2946000	2946000	2706000	3186000	3186000	2706000	
299	2967000	3063000	2703000	3183000	3183000	2703000	
300	2988000	3180000	2700000	3180000	3180000	2700000	
301	3009000	3177000	2697000	3177000	3177000	2817000	
302	3030000	3174000	2814000	3174000	3174000	2814000	
303	3027000	3171000	2811000	3171000	3171000	2811000	
304	3024000	3168000	2808000	3168000	3168000	2808000	
305	3021000	3165000	2805000	3165000	3165000	2805000	
306	3066000	3162000	2802000	3162000	3282000	2922000	
307	3087000	3159000	2919000	3159000	3279000	2919000	
308	3084000	3156000	2916000	3156000	3276000	2916000	
309	3081000	3153000	2913000	3153000	3273000	2913000	
310	3078000	3150000	2910000	3150000	3270000	2910000	
311	3099000	3147000	2907000	3147000	3267000	3027000	
312	3120000	3264000	2904000	3144000	3264000	3024000	
313	3117000	3261000	2901000	3141000	3261000	3021000	
314	3114000	3258000	2898000	3138000	3258000	3018000	
315	3135000	3255000	3015000	3135000	3255000	3015000	
316	3156000	3252000	3132000	3132000	3252000	3012000	
317	3153000	3249000	3129000	3129000	3249000	3009000	
318	3150000	3246000	3126000	3126000	3246000	3006000	
319	3147000	3243000	3123000	3123000	3243000	3003000	
320	3144000	3240000	3120000	3120000	3240000	3e+06	
321	3141000	3237000	3117000	3117000	3237000	2997000	
322	3138000	3234000	3114000	3114000	3234000	2994000	
323	3159000	3351000	3111000	3111000	3231000	2991000	
324	3156000	3348000	3108000	3108000	3228000	2988000	
325	3201000	3465000	3105000	3105000	3345000	2985000	
326	3198000	3462000	3102000	3102000	3342000	2982000	
327	3219000	3579000	3099000	3099000	3339000	2979000	
328	3216000	3576000	3096000	3096000	3336000	2976000	
329	3237000	3573000	3093000	3213000	3333000	2973000	
330	3282000	3690000	3210000	3210000	3330000	2970000	
331	3279000	3687000	3207000	3207000	3327000	2967000	
332	3324000	3684000	3324000	3204000	3324000	3084000	
333	3321000	3681000	3321000	3201000	3321000	3081000	
334	3342000	3678000	3318000	3198000	3318000	3198000	
335	3339000	3675000	3315000	3195000	3315000	3195000	
336	3360000	3672000	3432000	3192000	3312000	3192000	
337	3357000	3669000	3429000	3189000	3309000	3189000	
338	3402000	3666000	3426000	3306000	3426000	3186000	
339	3423000	3663000	3423000	3303000	3423000	3303000	
340	3444000	3780000	3420000	3300000	3420000	3300000	
341	3465000	3777000	3417000	3417000	3417000	3297000	
342	3486000	3774000	3414000	3414000	3414000	3414000	
343	3483000	3771000	3411000	3411000	3411000	3411000	
344	3528000	3768000	3528000	3408000	3408000	3528000	
345	3525000	3765000	3525000	3405000	3405000	3525000	
346	3546000	3762000	3522000	3402000	3522000	3522000	
347	3543000	3759000	3519000	3399000	3519000	3519000	
348	3564000	3756000	3516000	3396000	3636000	3516000	
349	3585000	3753000	3513000	3393000	3753000	3513000	
350	3582000	3750000	3510000	3390000	3750000	3510000	
351	3651000	3747000	3507000	3507000	3867000	3627000	
352	3648000	3744000	3504000	3504000	3864000	3624000	
353	3645000	3741000	3501000	3501000	3861000	3621000	
354	3666000	3738000	3498000	3618000	3858000	3618000	
355	3663000	3735000	3495000	3615000	3855000	3615000	
356	3684000	3732000	3492000	3612000	3972000	3612000	
357	3681000	3729000	3489000	3609000	3969000	3609000	
358	3702000	3726000	3606000	3606000	3966000	3606000	
359	3699000	3723000	3603000	3603000	3963000	3603000	
360	3696000	3720000	3600000	3600000	3960000	3600000	
361	3693000	3717000	3597000	3597000	3957000	3597000	
362	3690000	3714000	3594000	3594000	3954000	3594000	
363	3687000	3711000	3591000	3591000	3951000	3591000	
364	3708000	3708000	3708000	3588000	3948000	3588000	
365	3705000	3705000	3705000	3585000	3945000	3585000	
366	3726000	3702000	3822000	3582000	3942000	3582000	
367	3771000	3819000	3939000	3579000	3939000	3579000	
368	3816000	3936000	4056000	3576000	3936000	3576000	
369	3837000	3933000	4053000	3573000	3933000	3693000	
370	3834000	3930000	4050000	3570000	3930000	3690000	
371	3831000	3927000	4047000	3567000	3927000	3687000	
372	3852000	3924000	4044000	3564000	4044000	3684000	
373	3873000	3921000	4161000	3561000	4041000	3681000	
374	3870000	3918000	4158000	3558000	4038000	3678000	
375	3867000	3915000	4155000	3555000	4035000	3675000	
376	3864000	3912000	4152000	3552000	4032000	3672000	
377	3861000	3909000	4149000	3549000	4029000	3669000	
378	3882000	3906000	4146000	3546000	4146000	3666000	
379	3879000	3903000	4143000	3543000	4143000	3663000	
380	3876000	3900000	4140000	3540000	4140000	3660000	
381	3897000	4017000	4137000	3537000	4137000	3657000	
382	3894000	4014000	4134000	3534000	4134000	3654000	
383	3891000	4011000	4131000	3531000	4131000	3651000	
384	3912000	4008000	4128000	3528000	4248000	3648000	
385	3981000	4005000	4245000	3645000	4245000	3765000	
386	4002000	4002000	4242000	3762000	4242000	3762000	
387	3999000	3999000	4239000	3759000	4239000	3759000	
388	3996000	3996000	4236000	3756000	4236000	3756000	
389	3993000	3993000	4233000	3753000	4233000	3753000	
390	3990000	3990000	4230000	3750000	4230000	3750000	
391	4011000	3987000	4227000	3867000	4227000	3747000	
392	4032000	3984000	4224000	3864000	4224000	3864000	
393	4029000	3981000	4221000	3861000	4221000	3861000	
394	4026000	3978000	4218000	3858000	4218000	3858000	
395	4047000	3975000	4215000	3975000	4215000	3855000	
396	4068000	3972000	4212000	3972000	4212000	3972000	
397	4065000	3969000	4209000	3969000	4209000	3969000	
398	4086000	3966000	4326000	3966000	4206000	3966000	
399	4083000	3963000	4323000	3963000	4203000	3963000	
400	4080000	3960000	4320000	3960000	4200000	3960000	
401	4125000	4077000	4317000	3957000	4197000	4077000	
402	4122000	4074000	4314000	3954000	4194000	4074000	
403	4119000	4071000	4311000	3951000	4191000	4071000	
404	4140000	4068000	4308000	4068000	4188000	4068000	
405	4137000	4065000	4305000	4065000	4185000	4065000	
406	4182000	4062000	4422000	4062000	4302000	4062000	
407	4203000	4059000	4419000	4179000	4299000	4059000	
408	4248000	4056000	4416000	4296000	4416000	4056000	
409	4245000	4053000	4413000	4293000	4413000	4053000	
410	4242000	4050000	4410000	4290000	4410000	4050000	
411	4263000	4167000	4407000	4287000	4407000	4047000	
412	4284000	4164000	4404000	4404000	4404000	4044000	
413	4329000	4161000	4401000	4521000	4521000	4041000	
414	4326000	4158000	4398000	4518000	4518000	4038000	
415	4347000	4155000	4395000	4515000	4515000	4155000	
416	4368000	4152000	4392000	4632000	4512000	4152000	
417	4413000	4269000	4509000	4629000	4509000	4149000	
418	4410000	4266000	4506000	4626000	4506000	4146000	
419	4455000	4383000	4503000	4623000	4503000	4263000	
420	4476000	4500000	4500000	4620000	4500000	4260000	
421	4497000	4497000	4617000	4617000	4497000	4257000	
422	4494000	4494000	4614000	4614000	4494000	4254000	
423	4491000	4491000	4611000	4611000	4491000	4251000	
424	4488000	4488000	4608000	4608000	4488000	4248000	
425	4485000	4485000	4605000	4605000	4485000	4245000	
426	4530000	4482000	4722000	4602000	4482000	4362000	
427	4527000	4479000	4719000	4599000	4479000	4359000	
428	4524000	4476000	4716000	4596000	4476000	4356000	
