fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240513 000007	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	199	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.0443095893672279	0.587872918834437	2043	273	11304	58609019.4902549	33
20240513 003608	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3953	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.010192412834396	0.681860626318167	1507	1567	12036	59416617.6911544	34
20240513 010228	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2861	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.0157170644381104	0.690841429884299	1750	1674	12041	58534031.4842579	35
20240513 012234	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2126	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.0204539989034559	0.708157836114452	1302	1782	12936	59396257.8710645	36
20240513 014019	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1867	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.0194531205837042	0.71459688261029	1219	1852	13097	59108160.4197901	37
20240513 020029	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2228	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.019710023074441	0.717187466109438	1149	1871	12642	59251991.0044978	38
20240513 023054	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3661	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.0160691878663229	0.727812326253005	1059	2000	14427	58476181.4092954	39
20240513 024522	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1368	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.0257841599158073	0.688778916872034	1308	1535	13375	58429842.5787106	40
20240513 025939	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1389	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.0238043033783947	0.708274691282175	1031	1785	11384	58812377.8110945	41
20240513 035147	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6564	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.0100711617626741	0.73533522209695	934	1995	14343	58110970.0149925	42
20240513 040751	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	231	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.0328230770181054	0.686373508421191	2047	101	13930	57953568.2158921	43
20240513 041729	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	755	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.0376045758801328	0.671903030180461	1121	1553	13457	59461863.5682159	44
