envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
240	2928000	2880000	2880000	3e+06	3120000	2760000	
241	2949000	2877000	2877000	2997000	3237000	2757000	
242	2946000	2874000	2874000	2994000	3234000	2754000	
243	2943000	2871000	2871000	2991000	3231000	2751000	
244	2940000	2868000	2868000	2988000	3228000	2748000	
245	2937000	2865000	2865000	2985000	3225000	2745000	
246	2958000	2982000	2862000	2982000	3222000	2742000	
247	2955000	2979000	2859000	2979000	3219000	2739000	
248	2952000	2976000	2856000	2976000	3216000	2736000	
249	2949000	2973000	2853000	2973000	3213000	2733000	
250	2946000	2970000	2850000	2970000	3210000	2730000	
251	2967000	2967000	2847000	2967000	3327000	2727000	
252	2988000	3084000	2844000	2964000	3324000	2724000	
253	3009000	3081000	2961000	2961000	3321000	2721000	
254	3030000	3198000	2958000	2958000	3318000	2718000	
255	3075000	3315000	2955000	2955000	3315000	2835000	
256	3072000	3312000	2952000	2952000	3312000	2832000	
257	3069000	3309000	2949000	2949000	3309000	2829000	
258	3066000	3306000	2946000	2946000	3306000	2826000	
259	3063000	3303000	2943000	2943000	3303000	2823000	
260	3084000	3300000	2940000	2940000	3420000	2820000	
261	3105000	3297000	2937000	2937000	3417000	2937000	
262	3102000	3294000	2934000	2934000	3414000	2934000	
263	3123000	3291000	2931000	2931000	3411000	3051000	
264	3144000	3288000	3048000	2928000	3408000	3048000	
265	3189000	3285000	3165000	2925000	3405000	3165000	
266	3186000	3282000	3162000	2922000	3402000	3162000	
267	3207000	3279000	3159000	3039000	3399000	3159000	
268	3228000	3396000	3156000	3036000	3396000	3156000	
269	3249000	3393000	3153000	3033000	3393000	3273000	
270	3246000	3390000	3150000	3030000	3390000	3270000	
271	3243000	3387000	3147000	3027000	3387000	3267000	
272	3264000	3384000	3144000	3024000	3384000	3384000	
273	3285000	3381000	3141000	3141000	3381000	3381000	
274	3282000	3378000	3138000	3138000	3378000	3378000	
275	3327000	3375000	3255000	3135000	3375000	3495000	
276	3348000	3372000	3252000	3132000	3492000	3492000	
277	3369000	3369000	3249000	3129000	3489000	3609000	
278	3390000	3366000	3246000	3246000	3486000	3606000	
279	3387000	3363000	3243000	3243000	3483000	3603000	
280	3384000	3360000	3240000	3240000	3480000	3600000	
281	3381000	3357000	3237000	3237000	3477000	3597000	
282	3426000	3474000	3234000	3234000	3594000	3594000	
283	3423000	3471000	3231000	3231000	3591000	3591000	
284	3444000	3588000	3228000	3228000	3588000	3588000	
285	3441000	3585000	3225000	3225000	3585000	3585000	
286	3462000	3702000	3222000	3222000	3582000	3582000	
287	3459000	3699000	3219000	3219000	3579000	3579000	
288	3480000	3696000	3216000	3216000	3576000	3696000	
289	3477000	3693000	3213000	3213000	3573000	3693000	
290	3498000	3690000	3210000	3210000	3570000	3810000	
291	3543000	3807000	3207000	3327000	3567000	3807000	
292	3540000	3804000	3204000	3324000	3564000	3804000	
293	3537000	3801000	3201000	3321000	3561000	3801000	
294	3534000	3798000	3198000	3318000	3558000	3798000	
295	3531000	3795000	3195000	3315000	3555000	3795000	
296	3552000	3792000	3192000	3432000	3552000	3792000	
